#ZVView-data-copy:  25-Jan-2019 04:42:21
#=======================================
#
#name:   79-AU-197(N,G)79-AU-198,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  2424
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       0.05838      0.00041      0.42281      0.01922  # 1975,E.Fort+             ## 20573002
       0.05863      0.00041       0.4463      0.02101  # 1975,E.Fort+             ## 20573002
        0.0587            0        0.389            0  # 1969,D.Kompe             ## 20358035
        0.0587            0        0.394            0  # 1973,F.Froehner          ## 21020002
      0.058858     0.000271        0.316     0.071732  # 2011,C.Lederer+          ## 23152004
       0.05888      0.00042      0.44234      0.02106  # 1975,E.Fort+             ## 20573002
         0.059            0         0.35            0  # 1961,J.H.Gibbons+        ## 11329067
         0.059       0.0065        0.833       0.0833  # 1962,J.A.Miskel+         ## 12115008
         0.059        0.001        0.402        0.021  # 1977,V.N.Kononov+        ## 40520002
       0.05913      0.00042      0.43628       0.0206  # 1975,E.Fort+             ## 20573002
       0.05938      0.00042      0.42816      0.01977  # 1975,E.Fort+             ## 20573002
      0.059402    0.0002735        0.317     0.063083  # 2011,C.Lederer+          ## 23152004
       0.05963      0.00043      0.44205      0.02018  # 1975,E.Fort+             ## 20573002
       0.05988      0.00043      0.44196      0.02045  # 1975,E.Fort+             ## 20573002
      0.059952     0.000276        0.275      0.10037  # 2011,C.Lederer+          ## 23152004
          0.06            0         0.34            0  # 1961,J.H.Gibbons+        ## 11329067
          0.06       0.0125        0.523            0  # 1961,S.A.Cox             ## 12213002
          0.06        0.005        0.369        0.021  # 1983,N.Yamamuro+         ## 21911003
       0.06013      0.00043      0.44718      0.02167  # 1975,E.Fort+             ## 20573002
       0.06038      0.00043      0.42589      0.02177  # 1975,E.Fort+             ## 20573002
      0.060506    0.0002785        0.413     0.069384  # 2011,C.Lederer+          ## 23152004
       0.06063      0.00044      0.40397      0.02069  # 1975,E.Fort+             ## 20573002
       0.06088      0.00044      0.41877         0.02  # 1975,E.Fort+             ## 20573002
        0.0609            0        0.383            0  # 1969,D.Kompe             ## 20358035
        0.0609            0        0.387            0  # 1973,F.Froehner          ## 21020002
         0.061        0.001        0.397        0.021  # 1977,V.N.Kononov+        ## 40520002
      0.061066    0.0002815        0.442     0.057902  # 2011,C.Lederer+          ## 23152004
       0.06113      0.00044      0.43382      0.02072  # 1975,E.Fort+             ## 20573002
       0.06122            0        0.428      0.03424  # 1970,M.P.Fricke+         ## 10049007
       0.06138      0.00044      0.43294      0.02198  # 1975,E.Fort+             ## 20573002
       0.06163      0.00045      0.39844      0.02169  # 1975,E.Fort+             ## 20573002
      0.061632     0.000284         0.38      0.05586  # 2011,C.Lederer+          ## 23152004
       0.06188      0.00045      0.37124      0.01992  # 1975,E.Fort+             ## 20573002
        0.0619       0.0027        0.397        0.016  # 1968,W.P.Poenitz+        ## 21848002
         0.062        0.002        0.377        0.018  # 1974,V.S.Shorin+         ## 40222002
       0.06213      0.00045      0.36966      0.01902  # 1975,E.Fort+             ## 20573002
      0.062202     0.000286        0.301      0.10234  # 2011,C.Lederer+          ## 23152004
       0.06238      0.00046      0.38142      0.01985  # 1975,E.Fort+             ## 20573002
       0.06263      0.00046      0.41719      0.02266  # 1975,E.Fort+             ## 20573002
      0.062778    0.0002895        0.419     0.055727  # 2011,C.Lederer+          ## 23152004
       0.06288      0.00046      0.42496      0.02415  # 1975,E.Fort+             ## 20573002
         0.063        0.001         0.39        0.021  # 1977,V.N.Kononov+        ## 40520002
       0.06313      0.00046       0.4236      0.02398  # 1975,E.Fort+             ## 20573002
        0.0632            0        0.379            0  # 1969,D.Kompe             ## 20358035
        0.0632            0        0.383            0  # 1973,F.Froehner          ## 21020002
      0.063358    0.0002915        0.442     0.059228  # 2011,C.Lederer+          ## 23152004
       0.06338      0.00047      0.42357      0.02451  # 1975,E.Fort+             ## 20573002
       0.06363      0.00047      0.41036      0.02327  # 1975,E.Fort+             ## 20573002
       0.06388      0.00047      0.41604      0.02453  # 1975,E.Fort+             ## 20573002
        0.0639            0        0.456         0.04  # 1961,L.W.Weston+         ## 12214002
      0.063944    0.0002945        0.369     0.056088  # 2011,C.Lederer+          ## 23152004
         0.064            0         0.33            0  # 1961,J.H.Gibbons+        ## 11329067
         0.064            0        0.375            0  # 1963,I.Bergqvist         ## 20024005
         0.064            0         0.36        0.008  # 1966,W.Poenitz           ## 21193003
       0.06413      0.00047       0.4426      0.02767  # 1975,E.Fort+             ## 20573002
       0.06438      0.00048      0.42224      0.02757  # 1975,E.Fort+             ## 20573002
      0.064536    0.0002975        0.318     0.054378  # 2011,C.Lederer+          ## 23152004
       0.06463      0.00048      0.39901      0.02526  # 1975,E.Fort+             ## 20573002
       0.06488      0.00048      0.37887      0.02481  # 1975,E.Fort+             ## 20573002
       0.06499            0         0.43       0.0344  # 1970,M.P.Fricke+         ## 10049007
         0.065         0.01        0.332      0.02988  # 1961,J.H.Gibbons+        ## 11329066
         0.065        0.001        0.393        0.021  # 1977,V.N.Kononov+        ## 40520002
      0.065134    0.0002995        0.392     0.048608  # 2011,C.Lederer+          ## 23152004
       0.06525      0.00049      0.41847      0.02839  # 1975,E.Fort+             ## 20573002
        0.0656            0        0.376            0  # 1969,D.Kompe             ## 20358035
        0.0656            0         0.38            0  # 1973,F.Froehner          ## 21020002
      0.065736     0.000303         0.44      0.05368  # 2011,C.Lederer+          ## 23152004
       0.06575      0.00049      0.42523      0.02853  # 1975,E.Fort+             ## 20573002
         0.066        0.002        0.371        0.018  # 1974,V.S.Shorin+         ## 40222002
       0.06625       0.0005      0.36823      0.02484  # 1975,E.Fort+             ## 20573002
      0.066344    0.0003055        0.424     0.051728  # 2011,C.Lederer+          ## 23152004
       0.06675       0.0005      0.37854      0.02452  # 1975,E.Fort+             ## 20573002
      0.066958    0.0003085        0.253       0.1093  # 2011,C.Lederer+          ## 23152004
         0.067        0.001        0.364        0.019  # 1977,V.N.Kononov+        ## 40520002
       0.06725      0.00051      0.39035      0.02651  # 1975,E.Fort+             ## 20573002
      0.067578     0.000311        0.362     0.052128  # 2011,C.Lederer+          ## 23152004
       0.06775      0.00052      0.41894      0.02655  # 1975,E.Fort+             ## 20573002
         0.068            0        0.325            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0682            0        0.373            0  # 1969,D.Kompe             ## 20358035
        0.0682            0        0.377            0  # 1973,F.Froehner          ## 21020002
      0.068203     0.000314        0.432      0.05616  # 2011,C.Lederer+          ## 23152004
       0.06825      0.00052      0.44965      0.02826  # 1975,E.Fort+             ## 20573002
        0.0687            0        0.397     0.005558  # 1973,J.B.Czirr+          ## 10305003
       0.06875      0.00053      0.43026      0.02742  # 1975,E.Fort+             ## 20573002
      0.068834     0.000317        0.479     0.063707  # 2011,C.Lederer+          ## 23152004
         0.069            0         0.29            0  # 1960,E.G.Bilpuch+        ## 11187004
         0.069            0         0.43            0  # 1960,E.G.Bilpuch+        ## 11187005
         0.069        0.002        0.629       0.0629  # 1962,J.A.Miskel+         ## 12115007
         0.069        0.001        0.364        0.019  # 1977,V.N.Kononov+        ## 40520002
       0.06912            0          0.4        0.032  # 1970,M.P.Fricke+         ## 10049007
       0.06925      0.00053      0.37729      0.02396  # 1975,E.Fort+             ## 20573002
      0.069471      0.00032         0.36      0.04968  # 2011,C.Lederer+          ## 23152004
        0.0697       0.0102        0.384            0  # 1965,K.K.Harris+         ## 12197002
       0.06975      0.00054      0.36516       0.0222  # 1975,E.Fort+             ## 20573002
          0.07        0.002        0.363        0.017  # 1974,V.S.Shorin+         ## 40222002
      0.070114     0.000323        0.529     0.059777  # 2011,C.Lederer+          ## 23152004
       0.07025      0.00054      0.35352      0.02265  # 1975,E.Fort+             ## 20573002
       0.07075      0.00055      0.38342      0.02446  # 1975,E.Fort+             ## 20573002
      0.070763     0.000326        0.451     0.057728  # 2011,C.Lederer+          ## 23152004
        0.0709            0        0.368            0  # 1969,D.Kompe             ## 20358035
        0.0709            0        0.372            0  # 1973,F.Froehner          ## 21020002
         0.071        0.001         0.36        0.019  # 1977,V.N.Kononov+        ## 40520002
       0.07125      0.00056      0.37183      0.02249  # 1975,E.Fort+             ## 20573002
      0.071418    0.0003285        0.373     0.045133  # 2011,C.Lederer+          ## 23152004
       0.07175      0.00056      0.37704      0.02201  # 1975,E.Fort+             ## 20573002
      0.072078     0.000332        0.418     0.062282  # 2011,C.Lederer+          ## 23152004
       0.07225      0.00057      0.42048      0.02482  # 1975,E.Fort+             ## 20573002
        0.0725       0.0075         0.36        0.021  # 1983,N.Yamamuro+         ## 21911003
      0.072745     0.000335        0.345      0.10937  # 2011,C.Lederer+          ## 23152004
       0.07275      0.00057      0.40076      0.02472  # 1975,E.Fort+             ## 20573002
         0.073        0.001        0.355        0.019  # 1977,V.N.Kononov+        ## 40520002
       0.07325      0.00058      0.39659      0.02399  # 1975,E.Fort+             ## 20573002
      0.073418     0.000338        0.326     0.051834  # 2011,C.Lederer+          ## 23152004
       0.07365            0        0.365       0.0292  # 1970,M.P.Fricke+         ## 10049007
       0.07375      0.00059      0.38351      0.02244  # 1975,E.Fort+             ## 20573002
        0.0738            0         0.36            0  # 1969,D.Kompe             ## 20358035
        0.0738            0        0.364            0  # 1973,F.Froehner          ## 21020002
         0.074        0.002        0.354        0.017  # 1974,V.S.Shorin+         ## 40222002
      0.074098    0.0003415        0.428      0.05564  # 2011,C.Lederer+          ## 23152004
       0.07425      0.00059       0.3747      0.02105  # 1975,E.Fort+             ## 20573002
       0.07475       0.0006       0.3695      0.02076  # 1975,E.Fort+             ## 20573002
      0.074784    0.0003445        0.504     0.068544  # 2011,C.Lederer+          ## 23152004
         0.075        0.001        0.364        0.019  # 1977,V.N.Kononov+        ## 40520002
       0.07525       0.0006      0.34972      0.04828  # 1973,C.Le Rigoleur+      ## 20558002
       0.07525       0.0006      0.38023      0.02239  # 1975,E.Fort+             ## 20573002
      0.075476    0.0003475        0.347     0.070441  # 2011,C.Lederer+          ## 23152004
       0.07575      0.00061      0.34888      0.04661  # 1973,C.Le Rigoleur+      ## 20558002
       0.07575      0.00061      0.36688      0.02215  # 1975,E.Fort+             ## 20573002
      0.076174    0.0003505        0.445      0.08811  # 2011,C.Lederer+          ## 23152004
       0.07625      0.00062      0.29324      0.03952  # 1973,C.Le Rigoleur+      ## 20558002
       0.07625      0.00062      0.36526      0.02229  # 1975,E.Fort+             ## 20573002
       0.07675      0.00062      0.38197      0.04762  # 1973,C.Le Rigoleur+      ## 20558002
       0.07675      0.00062      0.35957      0.02089  # 1975,E.Fort+             ## 20573002
      0.076878     0.000354        0.421     0.048836  # 2011,C.Lederer+          ## 23152004
        0.0769            0        0.351            0  # 1969,D.Kompe             ## 20358035
        0.0769            0        0.355            0  # 1973,F.Froehner          ## 21020002
         0.077            0        0.292            0  # 1961,J.H.Gibbons+        ## 11329067
         0.077        0.001         0.34        0.018  # 1977,V.N.Kononov+        ## 40520002
       0.07725      0.00063      0.36819      0.05127  # 1973,C.Le Rigoleur+      ## 20558002
       0.07725      0.00063      0.38606      0.02139  # 1975,E.Fort+             ## 20573002
        0.0775       0.0125        0.463            0  # 1961,S.A.Cox             ## 12213002
       0.07759    0.0003575        0.397     0.062726  # 2011,C.Lederer+          ## 23152004
       0.07775      0.00063      0.37146      0.04971  # 1973,C.Le Rigoleur+      ## 20558002
       0.07775      0.00063      0.35344      0.01952  # 1975,E.Fort+             ## 20573002
         0.078        0.002        0.342        0.016  # 1974,V.S.Shorin+         ## 40222002
       0.07825      0.00064      0.36213      0.04523  # 1973,C.Le Rigoleur+      ## 20558002
       0.07825      0.00064      0.33831      0.01844  # 1975,E.Fort+             ## 20573002
      0.078308    0.0003605        0.196      0.10545  # 2011,C.Lederer+          ## 23152004
       0.07863            0        0.373      0.02984  # 1970,M.P.Fricke+         ## 10049007
       0.07875      0.00065      0.32459      0.04079  # 1973,C.Le Rigoleur+      ## 20558002
       0.07875      0.00065      0.35042      0.01852  # 1975,E.Fort+             ## 20573002
         0.079        0.001        0.341        0.018  # 1977,V.N.Kononov+        ## 40520002
      0.079032     0.000364        0.417      0.05838  # 2011,C.Lederer+          ## 23152004
       0.07925      0.00065      0.39081      0.04552  # 1973,C.Le Rigoleur+      ## 20558002
       0.07925      0.00065      0.35807      0.01871  # 1975,E.Fort+             ## 20573002
       0.07975      0.00066      0.33209      0.04083  # 1973,C.Le Rigoleur+      ## 20558002
       0.07975      0.00066       0.3287      0.01742  # 1975,E.Fort+             ## 20573002
      0.079764    0.0003675        0.407     0.063492  # 2011,C.Lederer+          ## 23152004
        0.0801            0        0.339            0  # 1969,D.Kompe             ## 20358035
        0.0801            0        0.343            0  # 1973,F.Froehner          ## 21020002
       0.08025      0.00067      0.35724       0.0271  # 1973,C.Le Rigoleur+      ## 20558002
       0.08025      0.00066      0.32301      0.01707  # 1975,E.Fort+             ## 20573002
      0.080502    0.0003705        0.325     0.045825  # 2011,C.Lederer+          ## 23152004
       0.08075      0.00067        0.323      0.02433  # 1973,C.Le Rigoleur+      ## 20558002
       0.08075      0.00067      0.34276      0.01796  # 1975,E.Fort+             ## 20573002
      0.081246    0.0003745        0.441     0.051597  # 2011,C.Lederer+          ## 23152004
       0.08125      0.00068       0.3553      0.02588  # 1973,C.Le Rigoleur+      ## 20558002
       0.08125      0.00068      0.34884      0.01818  # 1975,E.Fort+             ## 20573002
       0.08175      0.00068      0.34477      0.02418  # 1973,C.Le Rigoleur+      ## 20558002
       0.08175      0.00068      0.35942      0.01842  # 1975,E.Fort+             ## 20573002
      0.081998    0.0003775         0.37      0.06068  # 2011,C.Lederer+          ## 23152004
         0.082        0.002        0.324        0.016  # 1974,V.S.Shorin+         ## 40222002
         0.082        0.002        0.341        0.018  # 1977,V.N.Kononov+        ## 40520002
       0.08225      0.00069      0.33993      0.02344  # 1973,C.Le Rigoleur+      ## 20558002
       0.08225      0.00069      0.33251      0.01704  # 1975,E.Fort+             ## 20573002
        0.0823        0.003         0.34        0.016  # 1968,W.P.Poenitz+        ## 21848002
       0.08275       0.0007      0.32611      0.02156  # 1973,C.Le Rigoleur+      ## 20558002
       0.08275       0.0007      0.31959      0.01645  # 1975,E.Fort+             ## 20573002
      0.082757     0.000381        0.279     0.046035  # 2011,C.Lederer+          ## 23152004
       0.08325       0.0007      0.29359      0.01952  # 1973,C.Le Rigoleur+      ## 20558002
       0.08325       0.0007      0.32697      0.01659  # 1975,E.Fort+             ## 20573002
      0.083522    0.0003845        0.387     0.059211  # 2011,C.Lederer+          ## 23152004
        0.0836            0        0.331            0  # 1969,D.Kompe             ## 20358035
        0.0836            0        0.335            0  # 1973,F.Froehner          ## 21020002
       0.08375      0.00071      0.31663      0.02074  # 1973,C.Le Rigoleur+      ## 20558002
       0.08375      0.00071      0.31763      0.01593  # 1975,E.Fort+             ## 20573002
         0.084            0        0.277            0  # 1961,J.H.Gibbons+        ## 11329067
         0.084            0        0.275            0  # 1961,J.H.Gibbons+        ## 11329068
         0.084        0.008         0.53        0.053  # 1962,J.A.Miskel+         ## 12115008
       0.08422            0        0.376      0.02632  # 1970,M.P.Fricke+         ## 10049007
       0.08425      0.00072      0.32037      0.02001  # 1973,C.Le Rigoleur+      ## 20558002
       0.08425      0.00071      0.32397       0.0161  # 1975,E.Fort+             ## 20573002
      0.084296    0.0003885        0.253     0.055154  # 2011,C.Lederer+          ## 23152004
       0.08475      0.00072      0.30609      0.01901  # 1973,C.Le Rigoleur+      ## 20558002
       0.08475      0.00072      0.31996      0.01579  # 1975,E.Fort+             ## 20573002
      0.085076    0.0003915        0.344     0.058824  # 2011,C.Lederer+          ## 23152004
       0.08525      0.00073      0.30465      0.01867  # 1973,C.Le Rigoleur+      ## 20558002
       0.08525      0.00073      0.33158      0.01631  # 1975,E.Fort+             ## 20573002
       0.08575      0.00074      0.32545      0.01911  # 1973,C.Le Rigoleur+      ## 20558002
       0.08575      0.00073      0.34052      0.01664  # 1975,E.Fort+             ## 20573002
      0.085862    0.0003955        0.333     0.045621  # 2011,C.Lederer+          ## 23152004
         0.086        0.002        0.334        0.018  # 1977,V.N.Kononov+        ## 40520002
       0.08625      0.00074      0.31905      0.01831  # 1973,C.Le Rigoleur+      ## 20558002
       0.08625      0.00074      0.31047      0.01526  # 1975,E.Fort+             ## 20573002
      0.086657     0.000399        0.374     0.069564  # 2011,C.Lederer+          ## 23152004
       0.08675      0.00075      0.32457      0.01782  # 1973,C.Le Rigoleur+      ## 20558002
       0.08675      0.00075      0.31225      0.01555  # 1975,E.Fort+             ## 20573002
       0.08725      0.00075      0.29792      0.01595  # 1973,C.Le Rigoleur+      ## 20558002
       0.08725      0.00075      0.31579      0.01616  # 1975,E.Fort+             ## 20573002
        0.0873            0        0.322            0  # 1969,D.Kompe             ## 20358035
        0.0873            0        0.326            0  # 1973,F.Froehner          ## 21020002
      0.087459     0.000403        0.244     0.040016  # 2011,C.Lederer+          ## 23152004
       0.08775      0.00076      0.30739      0.01621  # 1973,C.Le Rigoleur+      ## 20558002
       0.08775      0.00076      0.30472      0.01621  # 1975,E.Fort+             ## 20573002
       0.08825      0.00077       0.3115      0.01604  # 1973,C.Le Rigoleur+      ## 20558002
       0.08825      0.00077      0.33309      0.01767  # 1975,E.Fort+             ## 20573002
      0.088268    0.0004065        0.328     0.059696  # 2011,C.Lederer+          ## 23152004
        0.0887            0        0.365     0.004745  # 1973,J.B.Czirr+          ## 10305003
       0.08875      0.00077      0.30475      0.01556  # 1973,C.Le Rigoleur+      ## 20558002
       0.08875      0.00077      0.32274      0.01643  # 1975,E.Fort+             ## 20573002
        0.0888        0.003        0.318        0.013  # 1968,W.P.Poenitz+        ## 21848002
      0.089085      0.00041        0.347     0.041293  # 2011,C.Lederer+          ## 23152004
       0.08925      0.00078      0.31212      0.01573  # 1973,C.Le Rigoleur+      ## 20558002
       0.08925      0.00078      0.33063      0.01613  # 1975,E.Fort+             ## 20573002
        0.0894      0.01205        0.359            0  # 1965,K.K.Harris+         ## 12197002
       0.08975      0.00079      0.30958      0.01532  # 1973,C.Le Rigoleur+      ## 20558002
       0.08975      0.00079       0.3213      0.01503  # 1975,E.Fort+             ## 20573002
      0.089909     0.000414        0.295      0.04661  # 2011,C.Lederer+          ## 23152004
          0.09         0.01        0.318        0.018  # 1983,N.Yamamuro+         ## 21911003
          0.09        0.002        0.331        0.018  # 1977,V.N.Kononov+        ## 40520002
       0.09025      0.00079      0.31813      0.01558  # 1973,C.Le Rigoleur+      ## 20558002
       0.09025      0.00079      0.31301      0.01451  # 1975,E.Fort+             ## 20573002
       0.09032            0        0.379      0.02653  # 1970,M.P.Fricke+         ## 10049007
      0.090741     0.000418        0.329     0.043757  # 2011,C.Lederer+          ## 23152004
       0.09075       0.0008      0.32608      0.01588  # 1973,C.Le Rigoleur+      ## 20558002
       0.09075       0.0008      0.31345      0.01467  # 1975,E.Fort+             ## 20573002
       0.09125      0.00081      0.30059       0.0148  # 1973,C.Le Rigoleur+      ## 20558002
       0.09125      0.00081      0.29951      0.01474  # 1975,E.Fort+             ## 20573002
        0.0913            0        0.315            0  # 1969,D.Kompe             ## 20358035
        0.0913            0        0.319            0  # 1973,F.Froehner          ## 21020002
      0.091581     0.000422        0.336      0.05208  # 2011,C.Lederer+          ## 23152004
       0.09175      0.00081      0.30321      0.01491  # 1973,C.Le Rigoleur+      ## 20558002
       0.09175      0.00081      0.30944      0.01582  # 1975,E.Fort+             ## 20573002
       0.09225      0.00082      0.30606      0.01498  # 1973,C.Le Rigoleur+      ## 20558002
       0.09225      0.00082      0.30803      0.01547  # 1975,E.Fort+             ## 20573002
      0.092428    0.0004255        0.327     0.057879  # 2011,C.Lederer+          ## 23152004
       0.09275      0.00083       0.3113      0.01483  # 1973,C.Le Rigoleur+      ## 20558002
       0.09275      0.00083      0.29149      0.01384  # 1975,E.Fort+             ## 20573002
       0.09325      0.00083      0.31209      0.01444  # 1973,C.Le Rigoleur+      ## 20558002
       0.09325      0.00083      0.31598      0.01439  # 1975,E.Fort+             ## 20573002
      0.093284    0.0004295        0.209     0.059983  # 2011,C.Lederer+          ## 23152004
       0.09375      0.00084      0.31324      0.01442  # 1973,C.Le Rigoleur+      ## 20558002
       0.09375      0.00084      0.33041      0.01502  # 1975,E.Fort+             ## 20573002
         0.094            0        0.266            0  # 1961,J.H.Gibbons+        ## 11329067
         0.094            0         0.26            0  # 1961,J.H.Gibbons+        ## 11329068
         0.094            0         0.29        0.045  # 1963,I.Bergqvist         ## 20024005
         0.094        0.002        0.316        0.017  # 1977,V.N.Kononov+        ## 40520002
      0.094146    0.0004335        0.412      0.04738  # 2011,C.Lederer+          ## 23152004
       0.09425      0.00085      0.31631      0.01483  # 1973,C.Le Rigoleur+      ## 20558002
       0.09425      0.00085      0.31468      0.01506  # 1975,E.Fort+             ## 20573002
       0.09475      0.00085      0.31286      0.01458  # 1973,C.Le Rigoleur+      ## 20558002
       0.09475      0.00085      0.32269      0.01589  # 1975,E.Fort+             ## 20573002
      0.095018    0.0004375        0.357     0.047124  # 2011,C.Lederer+          ## 23152004
       0.09525      0.00086      0.32155      0.01504  # 1973,C.Le Rigoleur+      ## 20558002
       0.09525      0.00086      0.31703      0.01491  # 1975,E.Fort+             ## 20573002
        0.0955            0         0.31            0  # 1969,D.Kompe             ## 20358035
        0.0955            0        0.314            0  # 1973,F.Froehner          ## 21020002
       0.09575      0.00087      0.32478      0.01478  # 1973,C.Le Rigoleur+      ## 20558002
       0.09575      0.00087      0.32726      0.01483  # 1975,E.Fort+             ## 20573002
      0.095897     0.000442        0.257     0.044975  # 2011,C.Lederer+          ## 23152004
       0.09625      0.00087      0.32561      0.01455  # 1973,C.Le Rigoleur+      ## 20558002
       0.09625      0.00087      0.32644      0.01474  # 1975,E.Fort+             ## 20573002
       0.09675      0.00088      0.31278      0.01403  # 1973,C.Le Rigoleur+      ## 20558002
       0.09675      0.00088      0.32228       0.0153  # 1975,E.Fort+             ## 20573002
      0.096784    0.0004455        0.282      0.04089  # 2011,C.Lederer+          ## 23152004
        0.0971            0        0.327      0.02289  # 1970,M.P.Fricke+         ## 10049007
       0.09725      0.00089      0.30589      0.01387  # 1973,C.Le Rigoleur+      ## 20558002
       0.09725      0.00089      0.29941      0.01456  # 1975,E.Fort+             ## 20573002
       0.09768      0.00045        0.323     0.037145  # 2011,C.Lederer+          ## 23152004
       0.09775       0.0009      0.30792      0.01389  # 1973,C.Le Rigoleur+      ## 20558002
       0.09775      0.00089      0.32286      0.01478  # 1975,E.Fort+             ## 20573002
         0.098        0.002        0.314        0.017  # 1977,V.N.Kononov+        ## 40520002
       0.09825       0.0009      0.31586      0.01423  # 1973,C.Le Rigoleur+      ## 20558002
       0.09825       0.0009      0.30926      0.01368  # 1975,E.Fort+             ## 20573002
      0.098584     0.000454        0.274     0.049046  # 2011,C.Lederer+          ## 23152004
       0.09875      0.00091      0.31783      0.01386  # 1973,C.Le Rigoleur+      ## 20558002
       0.09875      0.00091      0.29697      0.01356  # 1975,E.Fort+             ## 20573002
       0.09925      0.00092      0.31605      0.01381  # 1973,C.Le Rigoleur+      ## 20558002
       0.09925      0.00091      0.30705      0.01462  # 1975,E.Fort+             ## 20573002
      0.099496     0.000458        0.251     0.048192  # 2011,C.Lederer+          ## 23152004
       0.09975      0.00092      0.30633      0.01339  # 1973,C.Le Rigoleur+      ## 20558002
       0.09975      0.00092      0.31864       0.0145  # 1975,E.Fort+             ## 20573002
           0.1            0         0.27            0  # 1960,E.G.Bilpuch+        ## 11187004
           0.1            0         0.41            0  # 1960,E.G.Bilpuch+        ## 11187005
           0.1            0        0.284            0  # 1961,J.H.Gibbons+        ## 11329067
           0.1            0        0.275            0  # 1961,J.H.Gibbons+        ## 11329068
           0.1            0        0.403            0  # 1961,S.A.Cox             ## 12213002
           0.1            0        0.306            0  # 1969,D.Kompe             ## 20358035
           0.1            0         0.31            0  # 1973,F.Froehner          ## 21020002
       0.10025      0.00093      0.31193      0.01391  # 1973,C.Le Rigoleur+      ## 20558002
       0.10025      0.00093      0.30956      0.01361  # 1975,E.Fort+             ## 20573002
       0.10042    0.0004625        0.301     0.049063  # 2011,C.Lederer+          ## 23152004
       0.10075      0.00094      0.31136      0.01342  # 1973,C.Le Rigoleur+      ## 20558002
       0.10075      0.00093      0.29999      0.01368  # 1975,E.Fort+             ## 20573002
       0.10125      0.00094      0.31052      0.01336  # 1973,C.Le Rigoleur+      ## 20558002
       0.10125      0.00094      0.32231      0.01496  # 1975,E.Fort+             ## 20573002
       0.10135    0.0004665        0.396     0.043956  # 2011,C.Lederer+          ## 23152004
       0.10175      0.00095      0.31041      0.01355  # 1973,C.Le Rigoleur+      ## 20558002
       0.10175      0.00095      0.31055       0.0136  # 1975,E.Fort+             ## 20573002
         0.102        0.002        0.311        0.017  # 1977,V.N.Kononov+        ## 40520002
       0.10225      0.00096      0.32343      0.01408  # 1973,C.Le Rigoleur+      ## 20558002
       0.10225      0.00096       0.3123      0.01364  # 1975,E.Fort+             ## 20573002
       0.10228     0.000471        0.296       0.0444  # 2011,C.Lederer+          ## 23152004
       0.10275      0.00096      0.32004       0.0137  # 1973,C.Le Rigoleur+      ## 20558002
       0.10275      0.00096      0.31136      0.01454  # 1975,E.Fort+             ## 20573002
       0.10323    0.0004755        0.298     0.042018  # 2011,C.Lederer+          ## 23152004
       0.10325      0.00097      0.30989      0.01331  # 1973,C.Le Rigoleur+      ## 20558002
       0.10325      0.00097      0.30629      0.01409  # 1975,E.Fort+             ## 20573002
        0.1033        0.003        0.328        0.014  # 1968,W.P.Poenitz+        ## 21848002
       0.10375      0.00098      0.31063       0.0133  # 1973,C.Le Rigoleur+      ## 20558002
       0.10375      0.00098      0.31787      0.01359  # 1975,E.Fort+             ## 20573002
       0.10418      0.00048        0.313     0.038812  # 2011,C.Lederer+          ## 23152004
       0.10425      0.00099      0.32703      0.01417  # 1973,C.Le Rigoleur+      ## 20558002
       0.10425      0.00098      0.31205      0.01383  # 1975,E.Fort+             ## 20573002
        0.1047            0        0.323      0.02261  # 1970,M.P.Fricke+         ## 10049007
       0.10475      0.00099      0.32567      0.01381  # 1973,C.Le Rigoleur+      ## 20558002
       0.10475      0.00099      0.31886       0.0145  # 1975,E.Fort+             ## 20573002
         0.105            0        0.306            0  # 1969,D.Kompe             ## 20358035
         0.105            0         0.31            0  # 1973,F.Froehner          ## 21020002
       0.10515     0.000484        0.268     0.050116  # 2011,C.Lederer+          ## 23152004
       0.10525        0.001      0.31522      0.01333  # 1973,C.Le Rigoleur+      ## 20558002
       0.10525        0.001      0.33287      0.01427  # 1975,E.Fort+             ## 20573002
       0.10575      0.00101       0.3097      0.01357  # 1973,C.Le Rigoleur+      ## 20558002
       0.10575      0.00101      0.33279      0.01461  # 1975,E.Fort+             ## 20573002
         0.106        0.002        0.309        0.017  # 1977,V.N.Kononov+        ## 40520002
       0.10612     0.000489        0.485     0.052865  # 2011,C.Lederer+          ## 23152004
       0.10625      0.00101      0.31641      0.01344  # 1973,C.Le Rigoleur+      ## 20558002
       0.10625      0.00101      0.31963      0.01474  # 1975,E.Fort+             ## 20573002
       0.10675      0.00102      0.32063      0.01339  # 1973,C.Le Rigoleur+      ## 20558002
       0.10675      0.00102      0.32603       0.0142  # 1975,E.Fort+             ## 20573002
         0.107            0        0.257            0  # 1961,J.H.Gibbons+        ## 11329067
         0.107            0        0.246            0  # 1961,J.H.Gibbons+        ## 11329068
        0.1071     0.000493        0.352     0.041888  # 2011,C.Lederer+          ## 23152004
       0.10725      0.00103      0.31588      0.01334  # 1973,C.Le Rigoleur+      ## 20558002
       0.10725      0.00103      0.32474      0.01417  # 1975,E.Fort+             ## 20573002
