#ZVView-data-copy:  25-Jan-2019 04:42:21
#=======================================
#
#name:   79-AU-197(N,G)79-AU-198,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  2424
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      3.905e-7            0        30.92      0.05654  # 1990,S.Yamamoto+         ## 22196003
      3.905e-7            0       29.943      0.76299  # 1996,S.Yamamoto+         ## 22370004
          4e-7            0         28.1            0  # 1964,E.Haddad+           ## 12196003
      4.393e-7            0        29.39      0.06275  # 1990,S.Yamamoto+         ## 22196003
      4.393e-7            0       28.161      0.72217  # 1996,S.Yamamoto+         ## 22370004
        4.5e-7            0           28            0  # 1964,V.A.Konks+          ## 40799004
      4.932e-7            0         27.4      0.07222  # 1990,S.Yamamoto+         ## 22196003
      4.932e-7            0       27.181      0.69809  # 1996,S.Yamamoto+         ## 22370004
          5e-7            0         26.5            0  # 1964,E.Haddad+           ## 12196003
        5.3e-7            0         27.5            0  # 1964,V.A.Konks+          ## 40799004
      5.541e-7            0        28.92       0.0687  # 1990,S.Yamamoto+         ## 22196003
      5.541e-7            0         26.5      0.68208  # 1996,S.Yamamoto+         ## 22370004
          6e-7            0         25.7            0  # 1964,E.Haddad+           ## 12196003
        6.2e-7            0         26.5            0  # 1964,V.A.Konks+          ## 40799004
      6.228e-7            0         25.3      0.07821  # 1990,S.Yamamoto+         ## 22196003
      6.228e-7            0       25.924      0.66813  # 1996,S.Yamamoto+         ## 22370004
      6.999e-7            0        24.96      0.06817  # 1990,S.Yamamoto+         ## 22196003
      6.999e-7            0       25.143      0.64955  # 1996,S.Yamamoto+         ## 22370004
          7e-7            0         24.1            0  # 1964,E.Haddad+           ## 12196003
        7.6e-7            0           28            0  # 1964,V.A.Konks+          ## 40799004
      7.862e-7            0        23.08      0.04728  # 1990,S.Yamamoto+         ## 22196003
      7.862e-7            0       24.912      0.64391  # 1996,S.Yamamoto+         ## 22370004
          8e-7            0           24            0  # 1964,E.Haddad+           ## 12196003
        8.5e-7            0           28            0  # 1964,V.A.Konks+          ## 40799004
      8.859e-7            0        24.72      0.03685  # 1990,S.Yamamoto+         ## 22196003
      8.859e-7            0       24.319      0.62649  # 1996,S.Yamamoto+         ## 22370004
          9e-7            0         24.3            0  # 1964,E.Haddad+           ## 12196003
          1e-6            0           28            0  # 1964,V.A.Konks+          ## 40799004
      1.001e-6            0       23.999      0.61878  # 1996,S.Yamamoto+         ## 22370004
       1.13e-6            0       24.378      0.62751  # 1996,S.Yamamoto+         ## 22370004
        1.2e-6            0         23.8            0  # 1964,E.Haddad+           ## 12196003
      1.274e-6            0       25.211      0.64762  # 1996,S.Yamamoto+         ## 22370004
        1.3e-6            0           28            0  # 1964,V.A.Konks+          ## 40799004
      1.438e-6            0       25.472      0.65122  # 1996,S.Yamamoto+         ## 22370004
      1.628e-6            0       27.004      0.68862  # 1996,S.Yamamoto+         ## 22370004
        1.7e-6            0           30            0  # 1964,V.A.Konks+          ## 40799004
      1.836e-6            0       28.912      0.73507  # 1996,S.Yamamoto+         ## 22370004
          2e-6            0           34            0  # 1964,V.A.Konks+          ## 40799004
      2.073e-6            0       32.729       0.8246  # 1996,S.Yamamoto+         ## 22370004
        2.3e-6            0           39            0  # 1964,V.A.Konks+          ## 40799004
